TIME,RSSI,LAT,LONG
2019-12-04T18:16:11.177288,182.0,-41.29151666666666665,174.7756333333333333
2019-12-04T18:19:08.051693,181.0,-41.29151666666666665,174.7762
2019-12-04T18:19:24.170405,238.0,-41.29156666666666664,174.7762
2019-12-04T18:19:40.299610,238.0,-41.29156666666666664,174.7762
2019-12-04T18:20:20.071096,238.0,-41.2915333333333333,174.7763833333333333
2019-12-04T18:20:36.157036,238.0,-41.2915333333333333,174.7763833333333333
2019-12-05T13:36:40.672012,184.0,-41.28495,174.7784
2019-12-05T13:37:13.420257,187.0,-41.2851666666666667,174.77835
2019-12-05T13:37:29.593248,189.0,-41.2851666666666667,174.77835
2019-12-05T13:37:45.613734,188.0,-41.2851666666666667,174.77835
2019-12-05T13:38:24.427144,193.0,-41.2852,174.7786
2019-12-05T13:38:40.545509,195.0,-41.2852,174.7786
2019-12-05T13:38:56.667169,190.0,-41.2852,174.7786
2019-12-05T13:39:31.428550,185.0,-41.2853833333333333,174.7784666666666666
2019-12-05T13:39:47.554186,185.0,-41.2853833333333333,174.7784666666666666
2019-12-05T13:40:03.677905,185.0,-41.2853833333333333,174.7784666666666666
2019-12-05T13:43:50.567597,184.0,-41.28605,174.7784333333333333
2019-12-05T13:44:06.689013,184.0,-41.28605,174.7784333333333333
2019-12-05T13:44:39.448295,184.0,-41.28615,174.7786333333333333
2019-12-05T13:44:55.563710,184.0,-41.28615,174.7786333333333333
2019-12-05T13:45:11.693571,188.0,-41.28615,174.7786333333333333
2019-12-05T13:45:45.444290,185.0,-41.2862,174.7790333333333334
2019-12-05T13:46:01.553345,184.0,-41.2862,174.7790333333333334
2019-12-05T13:46:50.413525,184.0,-41.2862,174.7793166666666667
2019-12-05T13:50:06.359998,184.0,-41.2848333333333333,174.7796333333333333
2019-12-05T13:50:22.512023,184.0,-41.2848333333333333,174.7790166666666667
2019-12-05T13:50:38.599118,185.0,-41.2848333333333333,174.7790166666666667
2019-12-05T13:51:16.391445,184.0,-41.28513333333333335,174.7790166666666667
2019-12-05T13:51:32.490529,185.0,-41.28513333333333335,174.7788833333333334
2019-12-05T13:51:48.552926,190.0,-41.28513333333333335,174.7788833333333334

